# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = bernoulli_1.data.R
# init = 2 (Default)
# random
#   seed = 2242482239
# output
#   file = bernoulli_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1,theta2
# Adaptation terminated
# Step size = 0.445833
# Diagonal elements of inverse mass matrix:
# 1.58719, 1.51696
-14.4958,0.322287,0.445833,2,5,0,18.3713,0.159097,0.0317501
-11.8622,0.884421,0.445833,3,7,0,16.8163,0.179322,0.0819877
-9.62393,0.946475,0.445833,2,7,0,14.273,0.178609,0.331266
-9.37898,0.999361,0.445833,2,7,0,9.62844,0.347151,0.254272
-9.50595,0.904674,0.445833,2,3,0,10.2049,0.239279,0.242783
-9.52453,0.999964,0.445833,3,7,0,9.6079,0.205587,0.310409
-9.60488,0.982729,0.445833,2,3,0,9.66751,0.206336,0.24632
-10.2478,0.909352,0.445833,1,3,0,10.3441,0.180227,0.169798
-10.166,0.898175,0.445833,3,7,0,11.1742,0.313291,0.112736
-10.6837,0.992966,0.445833,3,7,0,10.8916,0.27289,0.503194
-9.49938,1,0.445833,2,7,0,10.7567,0.335146,0.185648
-9.50201,0.990986,0.445833,3,15,0,9.76117,0.213064,0.302073
-9.38169,0.910194,0.445833,2,5,0,10.3318,0.344178,0.229378
-9.42176,0.993816,0.445833,2,5,0,9.50505,0.251649,0.286455
-9.96126,0.968548,0.445833,3,7,0,9.99792,0.181937,0.427846
-10.7868,0.868822,0.445833,2,3,0,11.0425,0.158711,0.1406
-10.4368,0.928324,0.445833,3,7,0,12.1405,0.371308,0.0751727
-9.4572,1,0.445833,3,7,0,11.0298,0.317423,0.203758
-9.42872,0.982411,0.445833,2,7,0,9.59164,0.379529,0.255687
-9.66699,0.936529,0.445833,2,7,0,10.02,0.277921,0.378118
-9.59711,0.944913,0.445833,1,3,0,10.1383,0.185679,0.285196
-9.38877,0.931009,0.445833,3,7,0,10.8948,0.280682,0.263466
-9.89735,0.967884,0.445833,3,7,0,9.92204,0.523661,0.137068
-10.043,0.959551,0.445833,3,7,0,10.3498,0.386009,0.0982958
-9.7573,1,0.445833,2,5,0,10.6551,0.330546,0.373034
-9.7573,0.0354094,0.445833,1,1,0,12.4402,0.330546,0.373034
-9.7573,0.270001,0.445833,1,1,0,11.3509,0.330546,0.373034
-10.1425,0.969025,0.445833,3,7,0,10.3744,0.265578,0.450874
-10.0592,0.998363,0.445833,2,5,0,10.6345,0.462653,0.0845583
-9.50012,1,0.445833,2,3,0,10.1098,0.419699,0.182669
-9.45711,0.974694,0.445833,3,7,0,9.67372,0.361475,0.189696
-10.6507,0.846411,0.445833,2,3,0,11.4396,0.616705,0.13586
-10.9454,0.211978,0.445833,2,3,0,14.2976,0.229944,0.0994852
-10.8547,0.988105,0.445833,2,7,0,12.2738,0.55228,0.0380903
-10.5015,0.997862,0.445833,3,7,0,11.2311,0.537645,0.055007
-9.3778,0.950707,0.445833,2,7,0,11.3851,0.304767,0.247874
-9.50496,0.948763,0.445833,3,7,0,10.0402,0.350914,0.179187
-10.3133,0.908694,0.445833,2,3,0,11.2072,0.567595,0.191188
-9.70203,1,0.445833,2,7,0,11.3529,0.394274,0.319609
-10.1862,0.944848,0.445833,2,7,0,11.0631,0.105211,0.405923
-9.55938,0.995056,0.445833,3,15,0,10.6966,0.327439,0.337375
-10.2985,0.852779,0.445833,2,5,0,10.7686,0.486782,0.0648447
-12.233,0.602787,0.445833,2,3,0,12.633,0.220087,0.0565041
-11.6133,0.855074,0.445833,2,5,0,14.8177,0.0546741,0.162949
-10.8529,0.785316,0.445833,3,11,0,14.7994,0.628391,0.0712706
-11.4706,0.813122,0.445833,1,1,0,11.5999,0.681248,0.0751398
-10.0523,1,0.445833,2,3,0,11.4546,0.403335,0.0932815
-9.89369,0.982919,0.445833,2,3,0,10.2728,0.399541,0.108869
-9.52363,0.962809,0.445833,2,7,0,10.2726,0.281948,0.205517
-10.0092,0.987966,0.445833,2,7,0,10.0116,0.544051,0.143789
-10.9351,0.85454,0.445833,2,3,0,11.0501,0.621169,0.183939
-12.4621,0.750042,0.445833,2,3,0,13.0822,0.719135,0.139263
-10.3114,1,0.445833,2,3,0,12.4111,0.102494,0.231036
-9.56306,0.99957,0.445833,3,7,0,10.4353,0.446747,0.175909
-9.53505,0.926207,0.445833,2,3,0,9.93561,0.426435,0.24026
-9.69887,0.525496,0.445833,2,3,0,11.6503,0.460866,0.135106
-9.62555,0.980633,0.445833,2,7,0,10.4968,0.241114,0.373324
-9.96096,0.975776,0.445833,2,7,0,10.2661,0.516264,0.107462
-9.9339,0.962116,0.445833,2,3,0,10.1187,0.417259,0.101317
-9.95281,0.996482,0.445833,2,7,0,10.4846,0.282368,0.422021
-9.63503,0.938788,0.445833,1,3,0,10.519,0.172273,0.305564
-10.1855,0.957189,0.445833,2,7,0,10.5545,0.445953,0.342386
-10.3449,0.988201,0.445833,2,7,0,11.3761,0.292398,0.463988
-9.39593,0.860956,0.445833,2,7,0,11.4051,0.350007,0.217846
-9.39603,0.994259,0.445833,1,3,0,9.44413,0.362622,0.253542
-9.42571,0.992139,0.445833,1,1,0,9.42745,0.372624,0.26251
-9.74561,0.983608,0.445833,3,7,0,9.74751,0.149612,0.33496
-9.76456,0.998278,0.445833,1,1,0,9.77508,0.147885,0.343697
-12.5871,0.861773,0.445833,2,5,0,13.993,0.0159332,0.513425
-10.0794,0.938124,0.445833,3,7,0,12.8285,0.1697,0.194566
-10.5021,0.986343,0.445833,2,3,0,10.5533,0.134558,0.176691
-9.51745,1,0.445833,3,7,0,11.0447,0.278706,0.208924
-10.9541,0.915807,0.445833,2,7,0,12.1252,0.597104,0.04212
-10.6832,1,0.445833,1,1,0,10.9193,0.560693,0.0479408
-13.2039,0.737448,0.445833,3,7,0,13.6354,0.00409566,0.286001
-12.4305,0.977611,0.445833,2,3,0,14.0227,0.00891294,0.382637
-11.9042,0.961453,0.445833,2,3,0,12.8801,0.0143525,0.316725
-10.1643,0.874822,0.445833,3,11,0,11.9324,0.414141,0.369171
-11.4874,0.792553,0.445833,2,7,0,12.466,0.0225963,0.29729
-9.64522,0.54397,0.445833,2,7,0,12.0318,0.405879,0.297499
-10.0638,0.885162,0.445833,2,5,0,10.8965,0.0998184,0.330593
-9.96275,0.967291,0.445833,3,7,0,10.9309,0.521432,0.111057
-10.4087,0.945912,0.445833,2,3,0,10.41,0.593928,0.108734
-11.8608,0.98582,0.445833,3,7,0,12.0745,0.511438,0.0130839
-11.435,0.90542,0.445833,2,7,0,13.667,0.645507,0.0358782
-10.8281,0.945608,0.445833,2,3,0,11.8529,0.533092,0.0376555
-10.784,0.964644,0.445833,3,7,0,11.5167,0.0981998,0.495545
-10.7021,1,0.445833,1,1,0,10.9055,0.100644,0.487547
-10.8822,0.97784,0.445833,1,1,0,10.9978,0.0905696,0.500109
-9.83029,0.957325,0.445833,3,7,0,11.3423,0.487415,0.117415
-9.9949,0.994922,0.445833,2,3,0,10.0512,0.491881,0.0931235
-9.70259,1,0.445833,3,7,0,9.99145,0.454855,0.13232
-9.41242,0.998484,0.445833,3,7,0,9.83702,0.369398,0.258087
-9.75009,0.888017,0.445833,2,7,0,10.1473,0.298286,0.159514
-9.53906,0.968476,0.445833,1,3,0,10.0274,0.439794,0.18232
-10.7057,0.575466,0.445833,2,7,0,12.465,0.0690777,0.228514
-10.7057,0.960111,0.445833,1,1,0,11.0278,0.0690777,0.228514
-9.43512,0.961669,0.445833,3,7,0,12.0281,0.319692,0.209657
-9.39391,0.991776,0.445833,1,3,0,9.5262,0.351987,0.26443
-9.62938,0.964124,0.445833,2,7,0,9.72074,0.346531,0.341265
-13.3411,0.413053,0.445833,3,15,0,19.1089,0.00672002,0.501685
-11.2182,0.621123,0.445833,3,7,0,16.6532,0.0407866,0.448296
-11.6802,0.722256,0.445833,2,3,0,13.4421,0.0954288,0.580391
-12.6973,0.931168,0.445833,2,3,0,12.8756,0.100529,0.650777
-12.2415,1,0.445833,1,1,0,12.989,0.0909949,0.618799
-11.633,1,0.445833,1,1,0,12.3924,0.107652,0.582716
-9.37613,1,0.445833,2,7,0,12.0825,0.340155,0.25865
-10.8936,0.897837,0.445833,2,7,0,11.3662,0.153407,0.534101
-10.0268,1,0.445833,2,3,0,10.8242,0.135557,0.234493
-10.3757,0.996203,0.445833,2,3,0,10.5534,0.0763111,0.383107
-10.0118,0.979222,0.445833,3,15,0,11.5881,0.389794,0.370343
-10.0118,0.422577,0.445833,1,1,0,11.2481,0.389794,0.370343
-9.39544,0.99845,0.445833,2,7,0,10.2531,0.362972,0.220377
-10.5281,0.771962,0.445833,2,3,0,11.7932,0.250502,0.495609
-10.5291,1,0.445833,2,3,0,11.0665,0.106905,0.197467
-11.9644,0.928029,0.445833,2,3,0,12.2544,0.0637654,0.133394
-11.8211,0.998655,0.445833,2,7,0,12.5866,0.0394626,0.171158
-12.1252,0.938725,0.445833,2,5,0,13.5694,0.0920874,0.108516
-9.50346,0.915195,0.445833,3,7,0,13.4763,0.226081,0.329131
-9.73607,0.923249,0.445833,2,7,0,11.484,0.470935,0.237326
-10.0458,0.99303,0.445833,3,7,0,10.0982,0.105614,0.358772
-9.99107,0.981757,0.445833,2,3,0,10.1687,0.113311,0.287974
-9.579,0.998756,0.445833,2,7,0,10.3716,0.362653,0.319894
-10.3345,0.810362,0.445833,3,7,0,10.6074,0.0952092,0.238923
-9.47773,0.950521,0.445833,2,3,0,10.7932,0.222928,0.291081
-9.64002,0.994505,0.445833,3,7,0,9.81588,0.171071,0.315697
-9.53746,0.947113,0.445833,2,5,0,10.339,0.386258,0.164401
-9.57297,0.998378,0.445833,3,7,0,9.57601,0.19484,0.330408
-13.4363,0.652081,0.445833,2,7,0,14.3765,0.743544,0.0151156
-10.853,0.777522,0.445833,2,3,0,14.2725,0.555926,0.038587
-11.15,0.962001,0.445833,2,3,0,11.1653,0.615298,0.0379466
-10.2599,0.879944,0.445833,2,3,0,11.858,0.339626,0.0962775
-11.512,0.958343,0.445833,3,7,0,11.5327,0.683993,0.100846
-9.98418,0.694059,0.445833,2,3,0,13.1508,0.446277,0.092663
-10.322,0.995067,0.445833,1,3,0,10.5174,0.518387,0.065068
-10.3412,0.753349,0.445833,2,3,0,11.6905,0.584479,0.150233
-10.7032,0.857526,0.445833,1,1,0,10.9063,0.612958,0.163137
-10.0417,0.885055,0.445833,2,3,0,11.4327,0.44646,0.0872
-9.92581,0.936486,0.445833,2,3,0,10.6917,0.453601,0.0984549
-10.5412,0.966251,0.445833,3,11,0,11.6757,0.17378,0.50241
-11.1233,0.940957,0.445833,2,7,0,12.5987,0.038909,0.420403
-10.9868,0.90166,0.445833,3,7,0,12.1536,0.647317,0.0887628
-12.1833,0.604983,0.445833,1,1,0,12.51,0.71499,0.117289
-10.1629,1,0.445833,3,7,0,12.1193,0.0899546,0.30835
-9.67368,0.965525,0.445833,3,7,0,10.5238,0.471211,0.149498
-9.41901,0.992365,0.445833,2,7,0,9.8501,0.264507,0.303659
-9.48778,0.990943,0.445833,2,7,0,9.64993,0.409732,0.244649
-10.1051,0.967063,0.445833,2,7,0,10.4334,0.106104,0.384869
-9.91713,0.93105,0.445833,1,3,0,10.6916,0.142139,0.248063
-9.90493,0.989751,0.445833,3,15,0,10.28,0.226812,0.425158
-11.9857,0.703237,0.445833,3,7,0,13.1035,0.0139474,0.286973
-12.0078,0.979257,0.445833,2,3,0,12.2559,0.0139116,0.389026
-11.0685,0.992491,0.445833,3,7,0,12.1288,0.0345509,0.30071
-9.96662,0.949017,0.445833,3,7,0,12.1413,0.534543,0.129376
-9.887,0.828467,0.445833,2,7,0,11.7439,0.13738,0.376224
-9.8808,1,0.445833,2,3,0,9.94869,0.125137,0.335997
-11.6023,0.910137,0.445833,2,7,0,12.3235,0.0200426,0.368724
-10.3505,0.961528,0.445833,2,3,0,11.8957,0.0721145,0.328211
-9.43011,0.996914,0.445833,3,11,0,10.7674,0.280043,0.313679
-9.71209,0.955186,0.445833,2,7,0,10.0302,0.15529,0.326446
-9.40433,0.905428,0.445833,2,5,0,10.6518,0.37476,0.241899
-10.8941,0.935994,0.445833,3,7,0,11.2103,0.550242,0.0362462
-11.4706,0.982045,0.445833,2,3,0,11.5636,0.55181,0.0196123
-12.1002,0.856901,0.445833,3,11,0,13.2033,0.626824,0.0138459
-11.0406,0.962947,0.445833,3,7,0,13.0024,0.0482283,0.444376
-11.0865,0.829301,0.445833,2,3,0,12.6614,0.111292,0.537414
-9.6619,0.994233,0.445833,2,7,0,11.7117,0.441733,0.138186
-9.84972,0.873944,0.445833,2,3,0,10.6939,0.483048,0.246645
-10.9475,0.63563,0.445833,1,1,0,11.1144,0.592299,0.239028
-11.2913,0.979188,0.445833,3,15,0,12.2042,0.577139,0.0254824
-11.1829,0.991249,0.445833,2,3,0,11.4045,0.59603,0.0316313
-10.7236,0.913142,0.445833,3,7,0,11.9519,0.342349,0.068885
-11.5042,0.876571,0.445833,2,3,0,12.4165,0.22036,0.0793935
-12.8245,1,0.445833,3,7,0,14.4946,0.239223,0.0368544
-12.5826,0.956671,0.445833,2,3,0,13.082,0.737532,0.0971685
-12.5826,0.196989,0.445833,2,3,0,14.7121,0.737532,0.0971685
-11.1373,0.573599,0.445833,2,3,0,15.6789,0.568951,0.029294
-11.6499,0.943473,0.445833,3,7,0,11.6502,0.642538,0.0263931
-12.9649,0.98138,0.445833,3,7,0,13.2776,0.0192085,0.143886
-11.5211,0.998934,0.445833,3,7,0,12.8082,0.0229709,0.390529
-10.9203,0.950904,0.445833,3,7,0,12.1738,0.0617829,0.461896
-14.5536,0.473869,0.445833,3,7,0,15.8971,0.618984,0.00106553
-17.11,0.407366,0.445833,2,3,0,17.9816,0.233689,0.0017401
-12.8269,0.97897,0.445833,3,15,0,16.428,0.632068,0.00666777
-11.8334,0.955186,0.445833,3,7,0,13.2024,0.398319,0.0212932
-11.5789,0.964012,0.445833,2,3,0,12.1393,0.669886,0.0421488
-13.8999,0.727819,0.445833,2,3,0,14.0175,0.790857,0.0505445
-12.1082,1,0.445833,1,1,0,13.5862,0.710213,0.0447133
-10.5752,0.987794,0.445833,2,7,0,12.9683,0.116839,0.484494
-9.93651,1,0.445833,2,3,0,10.5991,0.117845,0.344419
-10.157,0.996916,0.445833,2,3,0,10.2019,0.0908727,0.34863
-10.1447,0.988941,0.445833,3,7,0,10.5203,0.0909609,0.333188
-10.2078,0.999501,0.445833,2,3,0,10.2125,0.0850408,0.341402
-10.0264,0.967755,0.445833,3,15,0,11.4364,0.496337,0.0901156
