# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = bernoulli_4.data.R
# init = 2 (Default)
# random
#   seed = 2242482273
# output
#   file = bernoulli_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1,theta2
# Adaptation terminated
# Step size = 0.52607
# Diagonal elements of inverse mass matrix:
# 1.1196, 0.994889
-10.3442,0.95763,0.52607,3,7,0,10.5147,0.122947,0.20241
-11.1545,0.841013,0.52607,1,3,0,13.6834,0.110152,0.543249
-9.94477,0.942512,0.52607,2,3,0,11.7601,0.116894,0.299757
-11.1838,0.943823,0.52607,2,3,0,11.3469,0.0413093,0.23117
-9.85193,0.981743,0.52607,3,7,0,11.7855,0.159014,0.24007
-9.80423,0.885498,0.52607,2,7,0,10.7484,0.224286,0.408474
-9.51307,0.991918,0.52607,3,7,0,9.8884,0.237046,0.339857
-10.2084,0.967415,0.52607,2,7,0,10.7511,0.554848,0.0913851
-9.97027,0.867934,0.52607,2,3,0,10.8396,0.528271,0.116361
-9.87519,0.874659,0.52607,1,3,0,10.8034,0.330916,0.131647
-10.221,0.985722,0.52607,2,7,0,10.6483,0.358634,0.416775
-10.535,0.988593,0.52607,3,15,0,10.6677,0.0789623,0.235073
-10.4497,0.967413,0.52607,2,7,0,10.727,0.0804763,0.41672
-9.66367,0.962457,0.52607,2,5,0,10.9826,0.474896,0.160308
-9.65043,0.860076,0.52607,2,3,0,10.5186,0.286377,0.179298
-9.92703,0.960298,0.52607,2,3,0,10.1828,0.253379,0.160815
-10.0889,1,0.52607,2,5,0,10.7208,0.148089,0.433628
-10.3468,0.953147,0.52607,1,1,0,10.3687,0.143721,0.470456
-9.48005,0.893527,0.52607,3,7,0,12.2367,0.255296,0.236643
-9.51699,0.954498,0.52607,3,11,0,10.1422,0.317774,0.188644
-9.66391,0.981223,0.52607,3,7,0,9.82759,0.475745,0.162226
-9.67956,0.998074,0.52607,2,3,0,9.70628,0.480978,0.164964
-9.64859,0.999612,0.52607,3,7,0,9.70576,0.273898,0.375436
-9.88871,0.907303,0.52607,2,7,0,10.9874,0.473936,0.104136
-9.56616,0.990013,0.52607,2,7,0,10.3907,0.390639,0.293629
-11.3965,0.714361,0.52607,2,3,0,11.4448,0.488759,0.407686
-10.3909,1,0.52607,2,7,0,11.6441,0.519459,0.282531
-10.6528,0.998884,0.52607,2,7,0,11.51,0.0523972,0.348298
-10.674,0.964983,0.52607,3,11,0,11.9462,0.415988,0.0524419
-10.2802,0.996663,0.52607,3,11,0,11.2157,0.392823,0.39923
-9.58097,1,0.52607,2,7,0,10.3005,0.188031,0.292917
-9.94046,0.979873,0.52607,3,7,0,10.0079,0.531235,0.168657
-10.5111,0.98304,0.52607,3,7,0,11.2181,0.096791,0.456326
-10.4815,0.968049,0.52607,3,11,0,13.0076,0.598551,0.0945237
-10.3842,0.984837,0.52607,2,7,0,10.8901,0.591651,0.134944
-9.46986,0.998056,0.52607,3,7,0,10.544,0.412232,0.196659
-9.52903,0.919911,0.52607,2,3,0,10.0548,0.329373,0.181274
-9.37906,0.999779,0.52607,3,15,0,9.55563,0.315426,0.277807
-10.7951,0.812511,0.52607,2,7,0,11.2168,0.297362,0.0807038
-10.9001,0.992377,0.52607,2,7,0,11.4964,0.358567,0.478973
-9.54414,0.962449,0.52607,2,7,0,11.4295,0.358669,0.16842
-9.73709,0.970293,0.52607,2,3,0,10.1568,0.468166,0.129074
-9.39859,0.991719,0.52607,2,5,0,9.83564,0.292016,0.296386
-9.42396,0.973204,0.52607,2,7,0,9.74844,0.323017,0.212185
-10.4259,0.974428,0.52607,3,7,0,10.6221,0.0777147,0.403471
-11.4556,0.869315,0.52607,2,3,0,11.5753,0.0793804,0.549575
-11.4166,1,0.52607,2,7,0,11.7738,0.0771071,0.152925
-10.604,0.905859,0.52607,2,3,0,11.9423,0.218181,0.508817
-10.3383,1,0.52607,2,3,0,10.6783,0.230654,0.480193
-11.5077,0.897927,0.52607,3,11,0,11.6533,0.653552,0.0360891
-10.2536,0.94586,0.52607,2,3,0,11.7346,0.49599,0.0683622
-10.4005,0.986048,0.52607,2,3,0,10.4869,0.451931,0.0606358
-10.6721,0.634635,0.52607,2,5,0,13.5013,0.10909,0.181436
-11.4269,0.955678,0.52607,2,7,0,11.4681,0.546053,0.345531
-11.4269,0.172587,0.52607,2,3,0,14.4822,0.546053,0.345531
-12.1062,0.946467,0.52607,2,7,0,13.3023,0.396641,0.0169532
-10.8712,0.707297,0.52607,3,7,0,14.8461,0.0560418,0.438366
-10.904,0.992727,0.52607,3,15,0,13.1022,0.629738,0.158227
-10.0501,1,0.52607,2,7,0,10.9871,0.151957,0.21309
-9.97746,0.97922,0.52607,1,3,0,10.7777,0.111732,0.342618
-11.8484,0.70439,0.52607,2,5,0,12.427,0.15232,0.0927607
-9.99674,0.971188,0.52607,2,7,0,11.9239,0.213418,0.438753
-10.0703,0.96149,0.52607,2,3,0,10.662,0.141684,0.425636
-9.96362,0.937853,0.52607,2,3,0,10.7296,0.128018,0.259857
-9.66523,0.982207,0.52607,1,3,0,10.1998,0.173856,0.347194
-9.67072,0.905851,0.52607,1,3,0,10.4904,0.223287,0.214995
-9.56336,0.983195,0.52607,1,3,0,10.1043,0.197411,0.328486
-9.65352,0.963945,0.52607,2,5,0,9.99526,0.291038,0.371872
-9.94407,0.965246,0.52607,3,9,0,10.0447,0.313927,0.131443
-9.47874,0.988991,0.52607,2,5,0,10.28,0.225029,0.279256
-10.3249,0.971711,0.52607,2,7,0,10.7473,0.57507,0.175721
-10.4454,1,0.52607,3,7,0,10.7752,0.0724944,0.391501
-9.46468,0.958654,0.52607,2,7,0,10.7748,0.410431,0.199069
