# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = bernoulli_2.data.R
# init = 2 (Default)
# random
#   seed = 2242482272
# output
#   file = bernoulli_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1,theta2
# Adaptation terminated
# Step size = 0.401316
# Diagonal elements of inverse mass matrix:
# 1.72816, 2.17571
-11.7889,1,0.401316,1,1,0,12.1709,0.472428,0.0153471
-11.8685,1,0.401316,2,3,0,11.9247,0.499546,0.0132269
-11.0616,0.991964,0.401316,2,3,0,11.9336,0.49741,0.0294917
-12.3427,0.97796,0.401316,2,3,0,12.5433,0.552697,0.00803263
-12.3865,1,0.401316,1,1,0,12.4178,0.530789,0.00761686
-10.3867,0.992247,0.401316,3,15,0,12.3043,0.111308,0.452982
-10.0574,1,0.401316,2,3,0,10.3848,0.113662,0.263401
-9.89693,0.99356,0.401316,2,3,0,10.1049,0.122812,0.337627
-10.0838,0.97285,0.401316,2,3,0,10.1816,0.123252,0.240459
-10.7242,0.981279,0.401316,3,7,0,10.9661,0.0641705,0.433355
-11.055,0.969357,0.401316,3,7,0,11.4086,0.630295,0.181358
-9.71293,1,0.401316,2,7,0,12.1519,0.172514,0.365339
-9.77439,0.948247,0.401316,3,7,0,10.4151,0.202178,0.212804
-11.0387,0.981887,0.401316,2,3,0,11.3352,0.0761652,0.502391
-11.0642,0.867922,0.401316,2,3,0,12.4832,0.066548,0.191167
-10.3784,0.994641,0.401316,2,7,0,12.6699,0.160784,0.169986
-10.4764,0.978648,0.401316,2,7,0,10.6564,0.147149,0.488419
-9.5885,1,0.401316,2,3,0,10.5844,0.263197,0.203176
-10.8382,0.86329,0.401316,1,3,0,11.4874,0.145023,0.144652
-10.4314,0.919933,0.401316,1,3,0,13.1168,0.0913761,0.434734
-10.3142,0.989524,0.401316,2,3,0,10.5875,0.105938,0.225677
-10.6297,0.961062,0.401316,1,1,0,10.6468,0.0939161,0.200572
-9.97944,1,0.401316,3,7,0,10.7082,0.174568,0.42831
-10.2755,0.936174,0.401316,1,1,0,10.3177,0.162858,0.468554
-9.49159,1,0.401316,2,7,0,10.9964,0.414918,0.237807
-9.50167,0.99749,0.401316,3,11,0,9.63165,0.393792,0.173611
-9.40497,0.926679,0.401316,2,5,0,9.9554,0.264324,0.273025
-10.0682,0.906939,0.401316,2,7,0,10.4516,0.419161,0.353122
-9.89837,1,0.401316,2,7,0,10.2129,0.336259,0.127293
-9.71468,0.993946,0.401316,2,5,0,10.1978,0.277732,0.174184
-9.42867,0.993107,0.401316,1,3,0,9.68389,0.297245,0.223699
-10.0239,0.921758,0.401316,2,5,0,10.1639,0.215563,0.17107
-9.69313,0.986932,0.401316,2,7,0,10.5427,0.412424,0.131935
-9.91413,0.891662,0.401316,2,7,0,10.831,0.182836,0.20626
-10.464,0.987972,0.401316,2,7,0,11.2986,0.598628,0.141358
-10.793,0.980846,0.401316,2,7,0,12.0472,0.0746895,0.467501
-10.9246,0.949706,0.401316,2,3,0,11.4115,0.0845759,0.182161
-11.0949,0.976988,0.401316,2,3,0,11.876,0.0441182,0.23498
-10.9999,0.995161,0.401316,3,7,0,11.3559,0.0372124,0.299206
-14.7532,0.980354,0.401316,3,15,0,16.0997,0.274081,0.00659376
-12.6382,0.976911,0.401316,2,3,0,14.9887,0.548096,0.00593405
-11.0189,0.994211,0.401316,2,5,0,13.0266,0.491039,0.0310249
-10.2738,0.999811,0.401316,3,7,0,11.0733,0.131696,0.452783
-10.3859,0.988471,0.401316,2,3,0,10.4927,0.136256,0.471869
-9.44535,0.998903,0.401316,2,7,0,10.4881,0.240149,0.300903
-9.98201,0.921167,0.401316,2,7,0,10.7146,0.131,0.250105
-10.8059,0.900236,0.401316,3,11,0,11.9525,0.356316,0.0609319
-10.0016,1,0.401316,2,3,0,10.6968,0.512374,0.0982368
-9.62474,0.957667,0.401316,3,7,0,10.4218,0.177073,0.327123
-9.83643,0.993129,0.401316,3,7,0,9.98086,0.51425,0.148975
-9.83808,0.785357,0.401316,3,9,0,11.5478,0.151849,0.253075
-13.6117,0.655476,0.401316,2,7,0,14.556,0.730268,0.198506
-10.9118,1,0.401316,2,3,0,12.9486,0.322138,0.0667972
-10.0222,1,0.401316,2,3,0,10.9322,0.479023,0.283756
-9.46122,1,0.401316,2,3,0,9.90227,0.411306,0.208077
-9.46122,0.00148592,0.401316,1,1,0,13.0611,0.411306,0.208077
