# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = bernoulli_3.data.R
# init = 2 (Default)
# random
#   seed = 2242482272
# output
#   file = bernoulli_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1,theta2
# Adaptation terminated
# Step size = 0.486018
# Diagonal elements of inverse mass matrix:
# 2.21246, 1.2167
-10.7507,0.812068,0.486018,2,3,0,11.387,0.0636718,0.233534
-10.2042,0.968293,0.486018,3,15,0,10.85,0.437522,0.35277
-11.9311,0.29708,0.486018,2,7,0,14.0197,0.015576,0.270337
-11.4018,0.939294,0.486018,2,3,0,12.5908,0.0541884,0.510674
-9.48387,0.924778,0.486018,3,7,0,12.378,0.421655,0.207727
-9.49851,0.841437,0.486018,2,3,0,9.9576,0.369075,0.176467
-9.78201,0.993889,0.486018,2,3,0,9.84289,0.441522,0.117008
-12.8397,0.0862444,0.486018,2,3,0,14.7523,0.118312,0.0749692
-11.3168,1,0.486018,2,3,0,12.2847,0.630201,0.212804
-10.4195,1,0.486018,2,3,0,10.8879,0.174729,0.158166
-10.5325,0.994788,0.486018,1,3,0,12.4057,0.0646951,0.27631
-10.0819,0.99494,0.486018,3,7,0,10.7134,0.155175,0.436657
-10.3845,0.861384,0.486018,3,7,0,12.9569,0.0983019,0.436747
-9.44993,0.970465,0.486018,2,7,0,10.2763,0.402021,0.201289
-9.39012,0.999813,0.486018,2,5,0,9.46152,0.278339,0.282606
-11.3647,0.821389,0.486018,2,5,0,11.9403,0.608029,0.0276287
-11.7622,0.931657,0.486018,2,3,0,11.988,0.438153,0.0181199
-10.5011,0.60359,0.486018,2,7,0,13.8135,0.59466,0.082987
-11.9663,0.414786,0.486018,2,5,0,12.835,0.141096,0.0929665
-10.6331,0.973678,0.486018,3,9,0,13.241,0.36327,0.06701
-9.90783,1,0.486018,2,3,0,10.5964,0.527637,0.157675
-9.83669,1,0.486018,2,3,0,10.0102,0.502381,0.125812
-9.83669,0.00746406,0.486018,2,3,0,12.7743,0.502381,0.125812
-9.77564,0.974065,0.486018,2,3,0,10.0702,0.468074,0.121165
-9.85028,0.935389,0.486018,2,3,0,10.0456,0.454174,0.107703
-9.75871,0.840733,0.486018,2,5,0,11.0961,0.175739,0.382433
-11.8758,0.828145,0.486018,2,3,0,12.0682,0.440069,0.483728
-11.8758,0.106092,0.486018,1,3,0,14.7178,0.440069,0.483728
-10.2026,1,0.486018,2,3,0,11.1908,0.12443,0.219238
-10.4117,0.932914,0.486018,2,3,0,11.1512,0.185007,0.15308
-11.3862,0.985294,0.486018,2,3,0,11.958,0.672007,0.0643775
-9.6262,0.993824,0.486018,2,7,0,12.5011,0.201858,0.361599
-9.86625,0.843635,0.486018,1,3,0,10.7521,0.208325,0.194375
-9.41716,0.971138,0.486018,3,9,0,10.0041,0.380096,0.209929
